trade_date,ticker,net_buy_amount,consecutive_buy_days,buy_intensity_pct,open,close,future_return_20d
2026-02-02,136410,-8710820,0,-0.008983178028153183,8930,8800,0
2026-02-02,137310,-413160,0,-3.8694826950718086e-05,9260,8770,0
2026-02-02,137400,101082500,1,0.00838262012382832,52300,50900,0
2026-02-02,138040,13843200400,1,0.06729461899207936,115100,117400,0
2026-02-02,138930,211848750,1,0.004144887022469869,16940,16470,0
2026-02-02,139130,-107079235,0,-0.004337299169996916,15650,15370,0
2026-02-02,139480,-107631000,0,-0.004417060868207267,91500,88300,0
2026-02-02,140410,725644950,1,0.015135065141452296,165000,157900,0
2026-02-02,140860,-33923000,0,-0.001756732999906311,294500,276000,0
2026-02-02,141080,318597000,1,0.004516023871532684,193000,192700,0
2026-02-02,145020,-979418750,0,-0.029757547827390395,270500,267500,0
2026-02-02,145720,-114289750,0,-0.022397762744532722,48000,46100,0
2026-02-02,158430,10974130,1,0.0062170779159319905,7480,7210,0
2026-02-02,160190,-886992050,0,-0.03828852844686178,80900,75000,0
2026-02-02,160980,166927815,1,0.08741700607582653,17610,17480,0
2026-02-02,161000,-27766930,0,-0.0057133529945727285,9980,9990,0
2026-02-02,161390,592344100,1,0.007700138867283811,64000,62100,0
2026-02-02,161580,57100,1,4.594886091171223e-06,56700,53100,0
2026-02-02,161890,-1940548150,0,-0.12215294376662343,69700,67300,0
2026-02-02,166090,-215484150,0,-0.018008798646409613,63500,60500,0
2026-02-02,170900,157426400,1,0.03140349940880439,54000,53600,0
